total_reward,avg_reward_per_step,reward_variance,reward_std,reward_iqr,reward_improvement,early_reward,late_reward,mean_reward_std_across_agents,reward_trend_slope,action_0_rate,action_1_rate,action_2_rate,action_3_rate,action_4_rate,action_entropy,action_change_rate,avg_action_consistency,concordant_action_rate,mean_obs_diff,std_obs_diff,mean_obs_mean,mean_obs_std,obs_diff_cv,obs_diff_trend,reward_zero_rate,reward_constant_rate,reward_frozen_rate,obs_zero_rate,identical_obs_rate,obs_extreme_rate,partial_zero_rate,mean_obs_neg_rate,label,failure_type
-81.25391167872363,-3.250156467148945,0.12672210574562845,0.3559804850629153,0.4420864277967276,-0.07059338375255741,-3.035169367632503,-3.1057627513850603,0.01885618083164129,-0.005838663277887323,0.17333333333333334,0.22666666666666666,0.2,0.24,0.16,1.5978175408369666,0.7638888888888888,0.5466666666666665,0.41935483870967744,0.539187223263358,0.20734326299314645,-0.04196519241713557,0.8931548341311865,0.3845478039217649,-0.0029532459059012084,0.0,0.0,0.04,0.0,0.0,0.0,0.23037037037037036,0.0,normal,none
-110.03009099160886,-4.401203639664354,0.06184467885402687,0.24868590401151985,0.21880025963947602,-0.5807600846093548,-3.998014594343065,-4.57877467895242,7.105427357601002e-17,-0.02022776880239596,0.22666666666666666,0.2,0.17333333333333334,0.14666666666666667,0.25333333333333335,1.5914759786322004,0.8611111111111112,0.5599999999999999,0.39655172413793105,0.468887830079012,0.17406686404669708,-0.14364316249024814,0.6828673471668093,0.37123348594083083,0.0018176577001239784,0.0,0.0,0.04,0.0,0.013888888888888888,0.0,0.23185185185185186,0.0,normal,none
-70.98945066518748,-2.8395780266074993,0.3311871356879694,0.575488606045306,0.6050789060993726,1.11605482551931,-3.8381332132320845,-2.7220783877127745,3.1086244689504386e-17,0.05775762631524815,0.2,0.2,0.2,0.14666666666666667,0.25333333333333335,1.5950421448040584,0.9305555555555556,0.5066666666666666,0.5166666666666667,0.48675379402449653,0.16423500132679822,-0.05587444410659373,0.7903482001744243,0.33740877422133475,0.0005462993962038911,0.0,0.0,0.04,0.0,0.0,0.0,0.2288888888888889,0.0,normal,none
-73.94205437771956,-2.9576821751087823,2.0435611127076445,1.429531780936557,2.2842745006531198,-3.5511946350250176,-1.7316949297913085,-5.282889564816326,2.6645352591003756e-17,-0.1822673795555366,0.16,0.21333333333333335,0.08,0.18666666666666668,0.36,1.5059513913260925,0.75,0.5733333333333333,0.42857142857142855,0.4859839208191935,0.1660289936074658,-0.21405060987790217,0.7084353433170789,0.34163474582855763,0.001085666640912139,0.0,0.0,0.04,0.0,0.013888888888888888,0.0,0.23333333333333334,0.0,normal,none
-98.40000771304696,-3.936000308521878,0.12628492069592534,0.35536589692305215,0.36662514461417306,-0.07581928204658661,-3.9031535418407253,-3.978972823887312,0.02828427124746191,-0.017226914650421095,0.18666666666666668,0.32,0.16,0.16,0.17333333333333334,1.568125503066293,0.875,0.5199999999999999,0.45901639344262296,0.4960408264747566,0.15530573897800387,0.11584902102714058,0.6895960927267357,0.3130906376570532,-0.0009413109723073566,0.0,0.0,0.04,0.0,0.0,0.0,0.23037037037037036,0.0,normal,observation_freeze
-47.04126756703021,-1.8816507026812084,0.3959642417296667,0.6292568964498257,0.5248945272586578,-1.1799876919014738,-1.8156708220787408,-2.9956585139802145,1.3322676295501878e-17,-0.054940925818323536,0.24,0.17333333333333334,0.18666666666666668,0.18666666666666668,0.21333333333333335,1.6024740058753815,0.8611111111111112,0.5333333333333333,0.43859649122807015,0.4656332942491041,0.16593736350024776,0.10746062623233431,0.801337260049882,0.35636919694815794,-0.0006380778601705611,0.0,0.0,0.04,0.0,0.0,0.0,0.23037037037037036,0.0,normal,none
-95.75685741042506,-3.8302742964170022,1.781046213125134,1.3345584337619443,2.4621688733978733,-3.0813987647441525,-2.463542995677309,-5.5449417604214615,0.028284271247461964,-0.17412428961485915,0.13333333333333333,0.12,0.28,0.18666666666666668,0.28,1.5492532185317929,0.75,0.5199999999999999,0.4461538461538462,0.5634486895801266,0.1702196142371274,0.062321930772461065,0.8694037964653618,0.302103132162521,-0.0011377044895431651,0.0,0.0,0.04,0.0,0.0,0.0,0.2288888888888889,0.0,normal,none
-63.78457279598994,-2.5513829118395974,0.03577772732660175,0.18915001275866133,0.26766862002437364,-0.3917296301460853,-2.24498773473898,-2.6367173648850653,3.9968028886505634e-17,-0.013590730680922865,0.18666666666666668,0.21333333333333335,0.2,0.21333333333333335,0.18666666666666668,1.6076588154321987,0.7916666666666666,0.6,0.4918032786885246,0.47736743631771744,0.18043378849111144,0.04623636118981435,0.6962179529819889,0.3779767415744816,0.00019925381833550395,0.0,0.0,0.04,0.0,0.027777777777777776,0.0,0.24074074074074073,0.0,normal,none
-55.324928998908064,-2.2129971599563225,0.2423436030519308,0.492284067436608,0.6779100852913109,0.7295937621320636,-2.8215505349675873,-2.0919567728355237,2.886579864025407e-17,0.04993314754476939,0.25333333333333335,0.22666666666666666,0.13333333333333333,0.24,0.14666666666666667,1.576976673185023,0.8055555555555556,0.4799999999999999,0.5535714285714286,0.4643999947924518,0.1765638419516075,-0.17550245270184758,0.5289325246854971,0.38019776819833745,-0.0011852294231641605,0.0,0.0,0.04,0.0,0.0,0.0,0.22962962962962963,0.0,normal,none
-115.75146908814928,-4.630058763525971,0.4961187714207739,0.7043569914615556,0.5561541062050548,-0.8075881731750458,-4.1634218751365015,-4.971010048311547,0.028284271247461943,-0.05826769284716865,0.2,0.17333333333333334,0.22666666666666666,0.17333333333333334,0.22666666666666666,1.6023055800853843,0.8055555555555556,0.4666666666666666,0.5166666666666667,0.5249135569223087,0.2061463665402132,-0.163966194564925,0.6989809512739585,0.3927244084838908,0.004804489376779118,0.0,0.041666666666666664,0.08,0.0,0.027777777777777776,0.0,0.23185185185185186,0.0,normal,none
-78.06820122601209,-3.1227280490404836,0.369526275919044,0.6078867295138495,0.24098902728017535,1.4087978001496584,-4.157628143109404,-2.748830342959746,0.02828427124746193,0.060571349190236844,0.22666666666666666,0.14666666666666667,0.22666666666666666,0.2,0.2,1.5981866771078475,0.7777777777777778,0.49333333333333335,0.5689655172413793,0.5198188389951706,0.22920697283573455,-0.15510837496041613,0.6304452323346081,0.4409362554805902,-0.00010553080021876384,0.0,0.0,0.04,0.0,0.0,0.0,0.23925925925925925,0.0,normal,none
-94.38429257842748,-3.775371703137099,0.5801138838234084,0.761652075309592,1.1900701184492015,-1.4854055019667105,-2.9727603379379963,-4.458165839904707,0.028284271247461926,-0.08784748093547926,0.22666666666666666,0.2,0.25333333333333335,0.17333333333333334,0.14666666666666667,1.5914759786322004,0.8194444444444444,0.5066666666666666,0.3448275862068966,0.5412997937098002,0.2677389259300353,0.06226670581450754,0.6622439125331984,0.49462225655114944,0.004567602759763858,0.0,0.041666666666666664,0.08,0.0,0.027777777777777776,0.0,0.23407407407407407,0.0,normal,none
-70.7886743853793,-2.8315469754151716,0.1939083711609847,0.44035028234461787,0.3033223856487339,1.027275825938876,-3.4443854407218906,-2.4171096147830147,0.018856180831641315,0.04263578840280042,0.21333333333333335,0.2,0.25333333333333335,0.17333333333333334,0.16,1.596291651918137,0.8611111111111112,0.5599999999999999,0.4406779661016949,0.5460393847120875,0.22357059237707724,0.1438418702767403,0.8365413214425,0.4094404144227067,-0.0026781603632881302,0.0,0.0,0.04,0.0,0.0,0.0,0.2311111111111111,0.0,normal,none
-85.15082961860294,-3.4060331847441176,0.061265231652111465,0.2475181440866739,0.4254777808506849,-0.11883166720930971,-3.088509181325788,-3.2073408485350976,0.0,-0.004635437250676868,0.24,0.13333333333333333,0.18666666666666668,0.14666666666666667,0.29333333333333333,1.5657664180466428,0.7361111111111112,0.5066666666666666,0.543859649122807,0.4688344003427562,0.16902943468916443,-0.08324078953628758,0.8186211189133357,0.360531211457732,0.000986914172577894,0.0,0.0,0.04,0.0,0.013888888888888888,0.0,0.2362962962962963,0.0,normal,none
